2013-05-24 01:11:48 Client 1132 (a) tClient 	 OnReadyRead 	 Получена команда номер 11
2013-05-24 21:45:20 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 21:45:20 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 21:45:20 FileBlocker  tFileBlocker 	 FinishReadFile 	 Таблица файлов разблокирована на чтение логином a
2013-05-24 21:45:20 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 21:45:20 FileBlocker  tFileBlocker 	 FinishReadFile 	 Файл objects/vhc_t-90/.cabin.info/Lighthouse.jpg найден в списке и снята блокировка на чтение логином a
2013-05-24 21:45:20 FileBlocker  tFileBlocker 	 SearchBlockFile 	 Файлobjects/vhc_t-90/.cabin.info/Lighthouse.jpg ничем не блокирован и удаляется из таблицы файлов
2013-05-24 21:45:20 FileBlocker  tFileBlocker 	 FinishReadFile 	 ==== Снятие блокировки на чтение ==== objects/vhc_t-90/.cabin.info/Горы и облака полное.jpg
2013-05-24 21:45:20 FileBlocker  tFileBlocker 	 FinishReadFile 	 Таблица файлов заблокирована на чтение логином a
2013-05-24 21:45:20 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 21:45:20 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 21:45:20 FileBlocker  tFileBlocker 	 FinishReadFile 	 Таблица файлов разблокирована на чтение логином a
2013-05-24 21:45:20 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 21:45:20 FileBlocker  tFileBlocker 	 FinishReadFile 	 Файл objects/vhc_t-90/.cabin.info/Горы и облака полное.jpg найден в списке и снята блокировка на чтение логином a
2013-05-24 21:45:20 FileBlocker  tFileBlocker 	 SearchBlockFile 	 Файлobjects/vhc_t-90/.cabin.info/Горы и облака полное.jpg ничем не блокирован и удаляется из таблицы файлов
2013-05-24 21:45:20 FileBlocker  tFileBlocker 	 FinishReadFile 	 ==== Снятие блокировки на чтение ==== objects/vhc_t-90/.cabin.info/t-90 cabin.files
2013-05-24 21:45:20 FileBlocker  tFileBlocker 	 FinishReadFile 	 Таблица файлов заблокирована на чтение логином a
2013-05-24 21:45:20 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 21:45:20 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 21:45:20 FileBlocker  tFileBlocker 	 FinishReadFile 	 Таблица файлов разблокирована на чтение логином a
2013-05-24 21:45:20 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 21:45:20 FileBlocker  tFileBlocker 	 FinishReadFile 	 Файл objects/vhc_t-90/.cabin.info/t-90 cabin.files найден в списке и снята блокировка на чтение логином a
2013-05-24 21:45:20 FileBlocker  tFileBlocker 	 SearchBlockFile 	 Файлobjects/vhc_t-90/.cabin.info/t-90 cabin.files ничем не блокирован и удаляется из таблицы файлов
2013-05-24 21:45:20 FileBlocker  tFileBlocker 	 FinishReadFile 	 ==== Снятие блокировки на чтение ==== objects/vhc_t-90/cabin/t-90_cabine_0.dds
2013-05-24 21:45:20 FileBlocker  tFileBlocker 	 FinishReadFile 	 Таблица файлов заблокирована на чтение логином a
2013-05-24 21:45:20 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 21:45:20 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 21:45:20 FileBlocker  tFileBlocker 	 FinishReadFile 	 Таблица файлов разблокирована на чтение логином a
2013-05-24 21:45:20 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 21:45:20 FileBlocker  tFileBlocker 	 FinishReadFile 	 Файл objects/vhc_t-90/cabin/t-90_cabine_0.dds найден в списке и снята блокировка на чтение логином a
2013-05-24 21:45:20 FileBlocker  tFileBlocker 	 SearchBlockFile 	 Файлobjects/vhc_t-90/cabin/t-90_cabine_0.dds ничем не блокирован и удаляется из таблицы файлов
2013-05-24 21:45:20 FileBlocker  tFileBlocker 	 FinishReadFile 	 ==== Снятие блокировки на чтение ==== objects/vhc_t-90/cabin/Пробный файл.txt
2013-05-24 21:45:20 FileBlocker  tFileBlocker 	 FinishReadFile 	 Таблица файлов заблокирована на чтение логином a
2013-05-24 21:45:20 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 21:45:20 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 21:45:20 FileBlocker  tFileBlocker 	 FinishReadFile 	 Таблица файлов разблокирована на чтение логином a
2013-05-24 21:45:20 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 21:45:20 FileBlocker  tFileBlocker 	 FinishReadFile 	 Файл objects/vhc_t-90/cabin/Пробный файл.txt найден в списке и снята блокировка на чтение логином a
2013-05-24 21:45:20 FileBlocker  tFileBlocker 	 SearchBlockFile 	 Файлobjects/vhc_t-90/cabin/Пробный файл.txt ничем не блокирован и удаляется из таблицы файлов
2013-05-24 21:45:20 (Login: a) tCommitTransaction 	 ExeCommand 	 ЗАВЕРШЕНИЕ ТРАНЗАКЦИИ 
2013-05-24 21:45:45 Client 1080 (a) tClient 	 OnReadyRead 	 Получена команда номер 11
2013-05-24 21:45:45 DB tDatabaseOp 	 RefreshModelsFiles 	 Формирование списка моделей 
2013-05-24 21:45:45 (Login: a) tGetListModels 	 ExeCommand 	 Передача списка моделей 
2013-05-24 21:48:27 Client 1080 (a) tClient 	 OnDisconnect 	 Клиент 1080 Логин a отключен 
2013-05-24 21:48:27 FileBlocker  tFileBlocker 	 UnlockReadWrite 	 === Снятие блокировок со всех файлов на чтение и запись логина === a
2013-05-24 21:48:27 Blocker  tReadWriteMutex 	 lockWrite 	 --- Блокировка на запись. --- Логин: a
2013-05-24 21:48:27 FileBlocker  tFileBlocker 	 UnlockReadWrite 	 Блокировка таблицы файлов на запись установлена. Логин: a
2013-05-24 21:48:27 Blocker  tReadWriteMutex 	 unlockReadWrite 	 --- Снятие всех блокировок на чтение и запись ---. Логин: a
2013-05-24 21:48:27 FileBlocker  tFileBlocker 	 UnlockReadWrite 	 Блокировка таблицы файлов на чтение и запись снята. Логин: a
2013-05-24 21:48:27 GUI tServer 	 OnDisconnectClient 	 Клиент. Дескриптор: 1080 отключен. Осталось 0 клиентов
2013-05-24 21:48:43 GUI tServer 	 incomingConnection 	 Входящее соединение. Дескриптор: 1132
2013-05-24 21:48:43 Client 1132 tClient 	 tClient 	 Клиент создан 
2013-05-24 21:48:43 Client 1132 () tClient 	 Initialize 	 Клиент подключен 
2013-05-24 21:48:43 Client 1132 () tClient 	 OnConnected 	 Формирование отчета о подключении 
2013-05-24 21:48:43 (Login: неопределен) tConnectionReport 	 ExeCommand 	 Отправка отчета о соединении (успех)
2013-05-24 21:48:44 Client 1132 () tClient 	 OnReadyRead 	 Получена команда номер 14
2013-05-24 21:48:44 (Login: ) tSendLoginsTable 	 ExeCommand 	 Передача таблицы логинов 
2013-05-24 21:48:47 Client 1132 () tClient 	 OnReadyRead 	 Получена команда номер 5
2013-05-24 21:48:47 Client 1132 (a) tClient 	 SetName 	 Присвоение логина a клиенту 1132
2013-05-24 21:48:47 (Login: ) tAutorization 	 ExeCommand 	 Авторизация прошла успешно Login: a
2013-05-24 21:48:47 Client 1132 (a) tClient 	 OnReadyRead 	 Получена команда номер 11
2013-05-24 21:48:47 DB tDatabaseOp 	 RefreshModelsFiles 	 Формирование списка моделей 
2013-05-24 21:48:47 (Login: a) tGetListModels 	 ExeCommand 	 Передача списка моделей 
2013-05-24 21:48:47 Client 1132 (a) tClient 	 OnReadyRead 	 Получена команда номер 15
2013-05-24 21:48:47 (Login: a) tSendReadPermissions 	 ExeCommand 	 Передача таблицы разрешений на чтение 
2013-05-24 21:49:02 Client 1132 (a) tClient 	 OnReadyRead 	 Получена команда номер 6
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 21:49:02 (Login: a) tStartTransaction 	 ExeCommand 	 СТАРТ ТРАНЗАКЦИИ НА ЧТЕНИЕ 
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 ==== Блокировка файла на чтение ==== objects/msl_fab-100/.msl_fab-100.info/msl_fab-100.info
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на чтение логином a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на чтение логином a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на запись логином a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 lockWrite 	 --- Блокировка на запись. --- Логин: a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Файл objects/msl_fab-100/.msl_fab-100.info/msl_fab-100.info добавление в список и блокировка на чтение логином a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 unlockWrite 	 --- Снятие блокировки на запись. ---
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на запись логином a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 ==== Блокировка файла на чтение ==== objects/msl_fab-100/.msl_fab-100.info/Koala.jpg
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на чтение логином a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на чтение логином a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на запись логином a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 lockWrite 	 --- Блокировка на запись. --- Логин: a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Файл objects/msl_fab-100/.msl_fab-100.info/Koala.jpg добавление в список и блокировка на чтение логином a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 unlockWrite 	 --- Снятие блокировки на запись. ---
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на запись логином a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 ==== Блокировка файла на чтение ==== objects/msl_fab-100/.msl_fab-100.info/msl_fab-100.files
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на чтение логином a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на чтение логином a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на запись логином a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 lockWrite 	 --- Блокировка на запись. --- Логин: a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Файл objects/msl_fab-100/.msl_fab-100.info/msl_fab-100.files добавление в список и блокировка на чтение логином a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 unlockWrite 	 --- Снятие блокировки на запись. ---
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на запись логином a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 ==== Блокировка файла на чтение ==== objects/msl_fab-100/msl_fab-100.mat
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на чтение логином a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на чтение логином a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на запись логином a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 lockWrite 	 --- Блокировка на запись. --- Логин: a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Файл objects/msl_fab-100/msl_fab-100.mat добавление в список и блокировка на чтение логином a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 unlockWrite 	 --- Снятие блокировки на запись. ---
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на запись логином a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 ==== Блокировка файла на чтение ==== objects/msl_fab-100/msl_fab-100.mesh
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на чтение логином a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на чтение логином a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на запись логином a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 lockWrite 	 --- Блокировка на запись. --- Логин: a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Файл objects/msl_fab-100/msl_fab-100.mesh добавление в список и блокировка на чтение логином a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 unlockWrite 	 --- Снятие блокировки на запись. ---
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на запись логином a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 ==== Блокировка файла на чтение ==== objects/msl_fab-100/msl_fab-100.node
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на чтение логином a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на чтение логином a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на запись логином a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 lockWrite 	 --- Блокировка на запись. --- Логин: a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Файл objects/msl_fab-100/msl_fab-100.node добавление в список и блокировка на чтение логином a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 unlockWrite 	 --- Снятие блокировки на запись. ---
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на запись логином a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 ==== Блокировка файла на чтение ==== objects/msl_fab-100/msl_fab-100.xml
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на чтение логином a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на чтение логином a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на запись логином a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 lockWrite 	 --- Блокировка на запись. --- Логин: a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Файл objects/msl_fab-100/msl_fab-100.xml добавление в список и блокировка на чтение логином a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 unlockWrite 	 --- Снятие блокировки на запись. ---
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на запись логином a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 ==== Блокировка файла на чтение ==== objects/msl_fab-100/msl_fab-100_d.dds
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на чтение логином a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на чтение логином a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на запись логином a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 lockWrite 	 --- Блокировка на запись. --- Логин: a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Файл objects/msl_fab-100/msl_fab-100_d.dds добавление в список и блокировка на чтение логином a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 unlockWrite 	 --- Снятие блокировки на запись. ---
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на запись логином a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 ==== Блокировка файла на чтение ==== objects/msl_fab-100/msl_fab-100_n.dds
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на чтение логином a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на чтение логином a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов заблокирована на запись логином a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 lockWrite 	 --- Блокировка на запись. --- Логин: a
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Файл objects/msl_fab-100/msl_fab-100_n.dds добавление в список и блокировка на чтение логином a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 21:49:02 Blocker  tReadWriteMutex 	 unlockWrite 	 --- Снятие блокировки на запись. ---
2013-05-24 21:49:02 FileBlocker  tFileBlocker 	 StartReadFile 	 Таблица файлов разблокирована на запись логином a
2013-05-24 21:49:02 Client 1132 (a) tClient 	 OnReadyRead 	 Получена команда номер 1
2013-05-24 21:49:02 (Login: a) tSendStreamFile 	 ExeCommand 	 ****** ОТПРАВКА ФАЙЛА ****** objects/msl_fab-100/.msl_fab-100.info/msl_fab-100.info
2013-05-24 21:49:02 (Login: a) tSendStreamFile 	 ExeCommand 	 Отправка файла objects/msl_fab-100/.msl_fab-100.info/msl_fab-100.info завершена
2013-05-24 21:49:02 Client 1132 (a) tClient 	 OnReadyRead 	 Получена команда номер 1
2013-05-24 21:49:02 (Login: a) tSendStreamFile 	 ExeCommand 	 ****** ОТПРАВКА ФАЙЛА ****** objects/msl_fab-100/.msl_fab-100.info/Koala.jpg
2013-05-24 21:49:02 (Login: a) tSendStreamFile 	 ExeCommand 	 Отправка файла objects/msl_fab-100/.msl_fab-100.info/Koala.jpg завершена
2013-05-24 21:49:02 Client 1132 (a) tClient 	 OnReadyRead 	 Получена команда номер 1
2013-05-24 21:49:02 (Login: a) tSendStreamFile 	 ExeCommand 	 ****** ОТПРАВКА ФАЙЛА ****** objects/msl_fab-100/.msl_fab-100.info/msl_fab-100.files
2013-05-24 21:49:02 (Login: a) tSendStreamFile 	 ExeCommand 	 Отправка файла objects/msl_fab-100/.msl_fab-100.info/msl_fab-100.files завершена
2013-05-24 21:49:02 Client 1132 (a) tClient 	 OnReadyRead 	 Получена команда номер 1
2013-05-24 21:49:02 (Login: a) tSendStreamFile 	 ExeCommand 	 ****** ОТПРАВКА ФАЙЛА ****** objects/msl_fab-100/msl_fab-100.mat
2013-05-24 21:49:02 (Login: a) tSendStreamFile 	 ExeCommand 	 Отправка файла objects/msl_fab-100/msl_fab-100.mat завершена
2013-05-24 21:49:02 Client 1132 (a) tClient 	 OnReadyRead 	 Получена команда номер 1
2013-05-24 21:49:02 (Login: a) tSendStreamFile 	 ExeCommand 	 ****** ОТПРАВКА ФАЙЛА ****** objects/msl_fab-100/msl_fab-100.mesh
2013-05-24 21:49:02 (Login: a) tSendStreamFile 	 ExeCommand 	 Отправка файла objects/msl_fab-100/msl_fab-100.mesh завершена
2013-05-24 21:49:02 Client 1132 (a) tClient 	 OnReadyRead 	 Получена команда номер 1
2013-05-24 21:49:02 (Login: a) tSendStreamFile 	 ExeCommand 	 ****** ОТПРАВКА ФАЙЛА ****** objects/msl_fab-100/msl_fab-100.node
2013-05-24 21:49:02 (Login: a) tSendStreamFile 	 ExeCommand 	 Отправка файла objects/msl_fab-100/msl_fab-100.node завершена
2013-05-24 21:49:02 Client 1132 (a) tClient 	 OnReadyRead 	 Получена команда номер 1
2013-05-24 21:49:02 (Login: a) tSendStreamFile 	 ExeCommand 	 ****** ОТПРАВКА ФАЙЛА ****** objects/msl_fab-100/msl_fab-100.xml
2013-05-24 21:49:02 (Login: a) tSendStreamFile 	 ExeCommand 	 Отправка файла objects/msl_fab-100/msl_fab-100.xml завершена
2013-05-24 21:49:02 Client 1132 (a) tClient 	 OnReadyRead 	 Получена команда номер 1
2013-05-24 21:49:02 (Login: a) tSendStreamFile 	 ExeCommand 	 ****** ОТПРАВКА ФАЙЛА ****** objects/msl_fab-100/msl_fab-100_d.dds
2013-05-24 21:49:03 (Login: a) tSendStreamFile 	 ExeCommand 	 Отправка файла objects/msl_fab-100/msl_fab-100_d.dds завершена
2013-05-24 21:49:03 Client 1132 (a) tClient 	 OnReadyRead 	 Получена команда номер 1
2013-05-24 21:49:03 (Login: a) tSendStreamFile 	 ExeCommand 	 ****** ОТПРАВКА ФАЙЛА ****** objects/msl_fab-100/msl_fab-100_n.dds
2013-05-24 21:49:03 (Login: a) tSendStreamFile 	 ExeCommand 	 Отправка файла objects/msl_fab-100/msl_fab-100_n.dds завершена
2013-05-24 21:49:03 Client 1132 (a) tClient 	 OnReadyRead 	 Получена команда номер 7
2013-05-24 21:49:03 (Login: a) tCommitTransaction 	 ExeCommand 	 ****** КОММИТ ТРАНЗАКЦИИ ******. Замена и удаление целевых файлов 
2013-05-24 21:49:03 (Login: a) tCommitTransaction 	 ExeCommand 	 Разблокировка от чтения файла 
2013-05-24 21:49:03 FileBlocker  tFileBlocker 	 FinishReadFile 	 ==== Снятие блокировки на чтение ==== objects/msl_fab-100/.msl_fab-100.info/msl_fab-100.info
2013-05-24 21:49:03 FileBlocker  tFileBlocker 	 FinishReadFile 	 Таблица файлов заблокирована на чтение логином a
2013-05-24 21:49:03 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 21:49:03 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 21:49:03 FileBlocker  tFileBlocker 	 FinishReadFile 	 Таблица файлов разблокирована на чтение логином a
2013-05-24 21:49:03 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 21:49:03 FileBlocker  tFileBlocker 	 FinishReadFile 	 Файл objects/msl_fab-100/.msl_fab-100.info/msl_fab-100.info найден в списке и снята блокировка на чтение логином a
2013-05-24 21:49:03 FileBlocker  tFileBlocker 	 SearchBlockFile 	 Файлobjects/msl_fab-100/.msl_fab-100.info/msl_fab-100.info ничем не блокирован и удаляется из таблицы файлов
2013-05-24 21:49:03 FileBlocker  tFileBlocker 	 FinishReadFile 	 ==== Снятие блокировки на чтение ==== objects/msl_fab-100/.msl_fab-100.info/Koala.jpg
2013-05-24 21:49:03 FileBlocker  tFileBlocker 	 FinishReadFile 	 Таблица файлов заблокирована на чтение логином a
2013-05-24 21:49:03 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 21:49:03 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 21:49:03 FileBlocker  tFileBlocker 	 FinishReadFile 	 Таблица файлов разблокирована на чтение логином a
2013-05-24 21:49:03 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 21:49:03 FileBlocker  tFileBlocker 	 FinishReadFile 	 Файл objects/msl_fab-100/.msl_fab-100.info/Koala.jpg найден в списке и снята блокировка на чтение логином a
2013-05-24 21:49:03 FileBlocker  tFileBlocker 	 SearchBlockFile 	 Файлobjects/msl_fab-100/.msl_fab-100.info/Koala.jpg ничем не блокирован и удаляется из таблицы файлов
2013-05-24 21:49:03 FileBlocker  tFileBlocker 	 FinishReadFile 	 ==== Снятие блокировки на чтение ==== objects/msl_fab-100/.msl_fab-100.info/msl_fab-100.files
2013-05-24 21:49:03 FileBlocker  tFileBlocker 	 FinishReadFile 	 Таблица файлов заблокирована на чтение логином a
